AirportID,Year,Month,Day,Time,TimeZone,SkyCondition,Visibility,WeatherType,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,ValueForWindCharacter,StationPressure,PressureTendency,PressureChange,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter,__index_level_0__
11066,2013,8,12,2134,-5,FEW038CB BKN085 OVC110,10.0,-TSRA,77.0,25.0,72.0,22.3,70.0,21.0,79.0,9.0,190,,29.03,,,,SP,,29.9,73
10721,2013,4,20,454,-5,SCT012 OVC021,7.0,-RA,55.0,12.8,53.0,11.5,51.0,10.6,86.0,13.0,300,,29.64,,,29.66,AA,0.06,29.67,74
13931,2013,6,20,351,-5,CLR,10.0,,65.0,18.3,61.0,16.3,59.0,15.0,81.0,6.0,070,,30.15,,,30.17,AA,,30.18,75
14107,2013,10,23,651,-7,FEW170 FEW250,10.0,,69.0,20.6,49.0,9.5,26.0,-3.3,20.0,7.0,100,,28.71,,,29.84,AA,,29.89,76
13342,2013,5,22,952,-6,SCT003 BKN040 OVC095,1.25,-RA BR,61.0,16.1,60.0,15.7,60.0,15.6,97.0,9.0,050,,28.9,,,29.63,AA,0.01,29.64,77
11259,2013,7,30,153,-6,OVC210,10.0,,84.0,28.9,70.0,21.2,63.0,17.2,49.0,16.0,180,22.0,29.47,,,29.96,AA,,29.99,78
12953,2013,10,5,546,-5,OVC008,7.0,,64.0,18.0,62.0,16.7,61.0,16.0,90.0,7.0,050,,30.03,,,,SP,,30.06,79
14635,2013,8,7,1628,-5,SCT029 BKN070 OVC090,3.0,RA BR,75.0,24.0,73.0,22.7,72.0,22.0,90.0,5.0,300,,29.9,,,,SP,,29.93,80
10423,2013,9,10,1029,-6,SCT019 BKN032 BKN039,10.0,,82.0,28.0,76.0,24.3,73.0,23.0,74.0,5.0,120,,29.54,,,,SP,,30.07,81
14771,2013,8,20,656,-8,FEW009,10.0,,60.0,15.6,57.0,13.7,54.0,12.2,81.0,0.0,000,,29.87,,,29.89,AA,,29.89,82
14570,2013,8,30,855,-8,SCT035,8.0,,70.0,21.1,53.0,11.8,39.0,3.9,32.0,0.0,000,,25.73,,,30.08,AA,,30.23,83
10299,2013,4,28,1853,-9,FEW200,10.0,,40.0,4.4,33.0,0.2,19.0,-7.2,43.0,6.0,330,,29.95,,,30.09,AA,,30.09,84
10693,2013,5,31,2353,-6,FEW075 OVC095,10.0,,75.0,23.9,68.0,19.9,64.0,17.8,69.0,10.0,180,,29.37,,,30.0,AA,,30.02,85
14492,2013,10,25,1851,-5,CLR,10.0,,43.0,6.1,38.0,3.3,31.0,-0.6,63.0,0.0,000,,29.85,,,30.33,AA,,30.33,86
15376,2013,10,2,153,-7,CLR,10.0,,67.0,19.4,52.0,11.3,39.0,3.9,36.0,5.0,170,,27.34,,,29.88,AA,,30.01,87
13303,2013,5,17,353,-5,BKN024 BKN034 BKN200,10.0,,73.0,22.8,68.0,19.9,65.0,18.3,76.0,0.0,000,,30.0,,,30.02,AA,T,30.03,88
14771,2013,8,16,2156,-8,FEW005 SCT008 SCT180,10.0,,60.0,15.6,57.0,13.7,54.0,12.2,81.0,11.0,280,,29.97,,,29.99,AA,,29.99,89
13931,2013,8,28,951,-5,BKN110,6.0,HZ,82.0,27.8,75.0,23.9,72.0,22.2,72.0,6.0,260,,29.9,,,29.93,AA,,29.93,90
14747,2013,5,14,1053,-8,SCT028 BKN250,10.0,,59.0,15.0,49.0,9.5,39.0,3.9,48.0,11.0,190,,29.75,,,30.24,AA,,30.22,91
11066,2013,7,7,1951,-5,SCT037CB BKN120,10.0,TS,79.0,26.1,70.0,21.0,65.0,18.3,62.0,7.0,290,,29.19,,,30.05,AA,,30.07,92
10713,2013,8,31,2353,-7,CLR,10.0,,75.0,23.9,53.0,11.7,32.0,0.0,21.0,10.0,140,,26.93,,,29.8,AA,,29.9,93
13931,2013,6,1,1451,-5,SCT060 SCT070,10.0,,90.0,32.2,74.0,23.2,66.0,18.9,45.0,16.0,220,20.0,29.99,,,30.01,AA,,30.02,94
10821,2013,5,19,1154,-5,OVC005,6.0,BR,65.0,18.3,63.0,17.3,62.0,16.7,90.0,5.0,090,,30.01,,,30.18,AA,,30.18,95
14524,2013,5,31,754,-5,SCT300,10.0,,78.0,25.6,71.0,21.5,67.0,19.4,69.0,8.0,210,,30.02,,,30.21,AA,,30.2,96
12954,2013,10,13,153,-8,OVC021,9.0,,61.0,16.1,58.0,14.2,55.0,12.8,81.0,3.0,360,,29.9,,,29.94,AA,,29.94,97
12954,2013,9,14,1553,-8,CLR,10.0,,82.0,27.8,67.0,19.4,58.0,14.4,44.0,9.0,310,,29.59,,,29.63,AA,,29.63,98
14908,2013,7,25,653,-8,OVC009,8.0,,67.0,19.4,62.0,16.8,59.0,15.0,76.0,0.0,000,,29.91,,,29.96,AA,,29.97,99
12191,2013,9,2,2353,-6,SCT250,10.0,,79.0,26.1,76.0,24.5,75.0,23.9,88.0,3.0,230,,29.88,,,29.94,AA,,29.93,100
12892,2013,5,15,1353,-8,FEW050 SCT150 SCT200,10.0,,69.0,20.6,61.0,16.0,55.0,12.8,61.0,13.0,250,,29.66,,,30.0,AA,,30.01,101
13303,2013,9,24,2053,-5,OVC130,10.0,,81.0,27.2,75.0,23.7,72.0,22.2,74.0,5.0,280,,29.91,,,29.94,AA,,29.94,102
11278,2013,7,1,625,-5,SCT009 SCT045 BKN120,10.0,,75.0,24.0,72.0,22.0,70.0,21.0,85.0,9.0,200,,29.85,,,,SP,,29.92,103
14679,2013,8,20,1925,-8,BKN011 BKN150,10.0,,70.0,21.0,66.0,18.6,63.0,17.0,79.0,8.0,340,,29.86,,,,SP,,29.89,104
10693,2013,4,26,1953,-6,BKN060 OVC100,10.0,-RA,52.0,11.1,49.0,9.4,46.0,7.8,80.0,6.0,070,,29.67,,,30.32,AA,0.02,30.33,105
14524,2013,7,28,1754,-5,FEW010CB BKN033CB BKN110,0.75,+TSRA,77.0,25.0,69.0,20.7,65.0,18.3,67.0,18.0,290,30.0,29.78,,,29.96,AA,0.18,29.96,106
11433,2013,6,17,2353,-5,SCT065CB BKN120 OVC200,10.0,-TSRA,66.0,18.9,61.0,16.2,58.0,14.4,76.0,10.0,220,,29.25,,,29.94,AA,T,29.96,107
13851,2013,4,12,1052,-6,BKN120 BKN180 BKN250,10.0,,51.0,10.6,43.0,6.0,33.0,0.6,50.0,8.0,350,,28.65,,,30.05,AA,,30.04,108
14492,2013,6,5,51,-5,FEW035 SCT080,10.0,,67.0,19.4,63.0,17.4,61.0,16.1,81.0,3.0,140,,29.64,,,30.1,AA,,30.11,109
12339,2013,10,1,650,-5,BKN016 OVC036,3.0,BR,63.0,17.0,62.0,16.5,61.0,16.0,93.0,8.0,210,,29.18,,,,SP,,30.04,110
10713,2013,4,20,553,-7,OVC032,10.0,,45.0,7.2,41.0,5.1,37.0,2.8,74.0,10.0,310,,27.14,,,30.13,AA,T,30.13,111
14524,2013,5,4,1754,-5,FEW040 BKN250,10.0,,62.0,16.7,53.0,11.5,44.0,6.7,52.0,11.0,100,17.0,29.98,,,30.17,AA,,30.16,112
10713,2013,10,22,2153,-7,CLR,10.0,,49.0,9.4,42.0,5.6,34.0,1.1,56.0,5.0,140,,27.13,,,30.11,AA,,30.12,113
10693,2013,4,21,653,-6,BKN250,10.0,,46.0,7.8,41.0,4.8,34.0,1.1,63.0,7.0,040,,29.72,,,30.38,AA,,30.38,114
13795,2013,10,26,2035,-5,CLR,10.0,,41.0,5.0,39.0,3.8,36.0,2.0,82.0,0.0,000,,30.04,,,,AA,,30.14,115
14843,2013,9,27,1356,-4,SCT050,10.0,,91.0,32.8,78.0,25.3,72.0,22.2,54.0,9.0,360,16.0,29.86,,,29.87,AA,,29.87,116
14107,2013,6,15,2351,-7,CLR,10.0,,94.0,34.4,60.0,15.5,29.0,-1.7,10.0,9.0,260,,28.63,,,29.73,AA,,29.8,117
11066,2013,10,26,1951,-5,SCT065 OVC090,10.0,,47.0,8.3,41.0,4.9,33.0,0.6,58.0,9.0,230,,29.1,,,29.99,AA,,29.98,118
12954,2013,10,15,1953,-8,CLR,10.0,,69.0,20.6,55.0,12.9,43.0,6.1,39.0,3.0,080,,29.91,,,29.94,AA,,29.95,119
10821,2013,9,3,654,-5,BKN160 BKN250,10.0,,74.0,23.3,69.0,20.8,67.0,19.4,79.0,6.0,300,,29.65,,,29.81,AA,,29.82,120
12953,2013,7,18,2051,-5,FEW070 SCT250,10.0,,92.0,33.3,76.0,24.1,68.0,20.0,45.0,3.0,280,,29.94,,,29.96,AA,,29.97,121
12892,2013,8,20,253,-8,BKN008,9.0,,63.0,17.2,61.0,16.2,60.0,15.6,90.0,6.0,290,,29.55,,,29.9,AA,,29.9,122
14831,2013,4,23,653,-8,CLR,10.0,,65.0,18.3,50.0,10.0,34.0,1.1,32.0,5.0,230,,29.87,3.0,14.0,29.92,AA,,29.92,123
12953,2013,5,4,1451,-5,FEW050,10.0,,60.0,15.6,50.0,9.8,39.0,3.9,46.0,15.0,190,,30.23,,,30.26,AA,,30.26,124
12266,2013,6,18,1754,-6,SCT036 SCT060 BKN120,10.0,,88.0,31.0,77.0,24.8,72.0,22.0,59.0,11.0,050,21.0,29.78,,,,SP,,29.89,125
13342,2013,4,3,852,-6,FEW250,10.0,,36.0,2.2,27.0,-2.6,6.0,-14.4,28.0,5.0,320,,29.71,1.0,20.0,30.48,AA,,30.46,126
12173,2013,9,11,1653,-10,SCT027 BKN043 BKN050,10.0,,85.0,29.4,73.0,22.7,67.0,19.4,55.0,11.0,070,,29.97,,,29.99,AA,,29.99,127
14027,2013,8,15,253,-5,FEW021TCU SCT037 BKN065,10.0,,82.0,27.8,74.0,23.2,70.0,21.1,67.0,10.0,150,,29.95,,,29.97,AA,,29.97,128
11618,2013,7,16,1951,-5,FEW070 SCT250,10.0,,87.0,30.6,72.0,22.1,64.0,17.8,46.0,9.0,030,,30.11,,,30.14,AA,,30.14,129
12451,2013,9,25,1023,-5,OVC004,3.0,-RA BR,75.0,24.0,75.0,23.8,75.0,24.0,100.0,9.0,260,,29.76,,,,SP,,29.8,130
13342,2013,7,11,252,-6,CLR,9.0,,63.0,17.2,59.0,14.9,56.0,13.3,78.0,3.0,300,,29.31,,,30.05,AA,,30.06,131
13495,2013,7,19,1753,-6,FEW035CB SCT150 SCT250,10.0,,86.0,30.0,77.0,24.9,73.0,22.8,65.0,8.0,070,,29.93,,,29.96,AA,,29.95,132
15016,2013,5,14,1051,-6,FEW250,10.0,,84.0,28.9,66.0,18.7,54.0,12.2,36.0,14.0,250,22.0,29.14,,,29.87,AA,,29.9,133
10713,2013,4,16,1253,-7,FEW065,10.0,,51.0,10.6,38.0,3.2,18.0,-7.8,27.0,17.0,290,24.0,26.95,,,29.93,AA,,29.92,134
14057,2013,5,31,1353,-8,FEW060 SCT160,10.0,,66.0,18.9,53.0,11.8,41.0,5.0,40.0,0.0,000,,30.17,,,30.29,AA,,30.29,135
14100,2013,7,7,1854,-5,BKN042CB BKN100 BKN250,10.0,-TSRA,87.0,30.6,75.0,23.7,69.0,20.6,55.0,26.0,300,38.0,29.99,,,30.02,AA,T,30.02,136
11042,2013,10,17,251,-5,CLR,10.0,,47.0,8.3,45.0,7.0,42.0,5.6,83.0,7.0,210,,29.08,,,29.93,AA,,29.94,137
13204,2013,6,15,1753,-5,SCT029 BKN038 OVC060,10.0,,82.0,27.8,76.0,24.3,73.0,22.8,74.0,14.0,070,,29.92,,,30.03,AA,T,30.03,138
14307,2013,9,6,851,-5,SCT250,10.0,,62.0,16.7,51.0,10.3,39.0,3.9,43.0,6.0,020,,30.18,,,30.25,AA,,30.25,139
10721,2013,10,21,654,-5,FEW250,10.0,,47.0,8.3,43.0,5.8,37.0,2.8,68.0,3.0,180,,30.08,,,30.11,AA,,30.11,140
12953,2013,4,8,2351,-5,BKN140 OVC200,10.0,,52.0,11.1,49.0,9.4,46.0,7.8,80.0,5.0,130,,29.96,,,29.99,AA,,29.99,141
11697,2013,4,19,153,-5,FEW021 SCT026,10.0,,80.0,26.7,75.0,23.6,72.0,22.2,77.0,11.0,140,21.0,29.98,,,29.99,AA,,29.99,142
12889,2013,6,30,1556,-8,FEW140 SCT250,10.0,,114.0,45.6,67.0,19.4,32.0,0.0,6.0,9.0,190,,27.39,,,29.55,AA,,29.66,143
11259,2013,5,24,1230,-6,SCT036CB BKN075,9.0,,82.0,28.0,74.0,23.2,70.0,21.0,67.0,10.0,100,,29.6,,,,SP,,30.13,144
10529,2013,6,7,806,-5,OVC014,4.0,RA BR,55.0,13.0,54.0,12.4,54.0,12.0,96.0,6.0,020,,29.81,,,,SP,,30.01,145
12173,2013,8,7,1053,-10,FEW032 SCT040 SCT050,10.0,,84.0,28.9,70.0,21.0,62.0,16.7,48.0,15.0,050,22.0,30.02,,,30.03,AA,,30.04,146
12191,2013,8,11,1453,-6,FEW035 SCT120 BKN250,10.0,,88.0,31.1,77.0,24.9,72.0,22.2,59.0,11.0,120,17.0,29.97,,,30.03,AA,,30.02,147
13795,2013,6,11,835,-5,OVC017,10.0,,75.0,24.0,72.0,22.0,70.0,21.0,85.0,10.0,200,22.0,29.89,,,,AA,,29.99,148
13487,2013,4,21,1953,-6,FEW010 BKN013 OVC023,9.0,,48.0,8.9,47.0,8.3,46.0,7.8,93.0,10.0,250,,29.16,,,30.08,AA,,30.06,149
13851,2013,7,24,2352,-6,BKN250,10.0,,75.0,23.9,72.0,22.0,70.0,21.1,85.0,6.0,150,,28.65,,,29.99,AA,,30.04,150
11697,2013,5,1,353,-5,FEW017 SCT030 BKN050,7.0,RA,75.0,23.9,73.0,22.7,72.0,22.2,90.0,5.0,100,,29.92,,,29.93,AA,0.39,29.93,151
12173,2013,10,29,1453,-10,FEW029 SCT037 SCT055,10.0,,85.0,29.4,70.0,21.2,62.0,16.7,46.0,13.0,070,20.0,29.95,,,29.97,AA,,29.97,152
14747,2013,8,15,453,-8,OVC055,10.0,,63.0,17.2,61.0,16.2,60.0,15.6,90.0,0.0,000,,29.48,,,29.97,AA,,29.95,153
10800,2013,7,16,953,-8,CLR,10.0,,82.0,27.8,63.0,17.3,50.0,10.0,33.0,5.0,150,,29.15,,,29.88,AA,,29.93,154
10423,2013,6,3,1153,-6,FEW250,10.0,,86.0,30.0,70.0,21.3,62.0,16.7,45.0,0.0,000,,29.42,,,29.92,AA,,29.95,155
14908,2013,7,26,1353,-8,FEW010 BKN200 BKN250,10.0,,77.0,25.0,67.0,19.4,61.0,16.1,58.0,8.0,250,,29.96,,,30.01,AA,,30.02,156
12953,2013,6,3,1646,-5,BKN014 BKN021 OVC048,0.5,+RA FG,72.0,22.0,68.0,20.0,66.0,19.0,82.0,9.0,210,,29.78,,,,SP,,29.81,157
12889,2013,5,29,1256,-8,FEW120,10.0,,86.0,30.0,57.0,13.8,30.0,-1.1,13.0,7.0,160,,27.39,,,29.59,AA,,29.66,158
